Actual,Predicted,nPredictions
Comp,Comp,2318
Comp,Purs,50
Comp,Prev,2
Purs,Comp,709
Purs,Purs,1563
Purs,Prev,98
Prev,Comp,134
Prev,Purs,18
Prev,Prev,2218
Comp,Comp,2280
Comp,Purs,88
Comp,Prev,2
Purs,Comp,588
Purs,Purs,1655
Purs,Prev,127
Prev,Comp,101
Prev,Purs,34
Prev,Prev,2235
Comp,Comp,2307
Comp,Purs,59
Comp,Prev,4
Purs,Comp,684
Purs,Purs,1570
Purs,Prev,116
Prev,Comp,140
Prev,Purs,20
Prev,Prev,2210
Comp,Comp,2292
Comp,Purs,76
Comp,Prev,2
Purs,Comp,612
Purs,Purs,1657
Purs,Prev,101
Prev,Comp,119
Prev,Purs,24
Prev,Prev,2227
Comp,Comp,2292
Comp,Purs,75
Comp,Prev,3
Purs,Comp,604
Purs,Purs,1664
Purs,Prev,102
Prev,Comp,100
Prev,Purs,23
Prev,Prev,2247
Comp,Comp,2323
Comp,Purs,46
Comp,Prev,1
Purs,Comp,630
Purs,Purs,1608
Purs,Prev,132
Prev,Comp,99
Prev,Purs,18
Prev,Prev,2253
Comp,Comp,2302
Comp,Purs,65
Comp,Prev,3
Purs,Comp,679
Purs,Purs,1604
Purs,Prev,87
Prev,Comp,141
Prev,Purs,24
Prev,Prev,2205
Comp,Comp,2295
Comp,Purs,74
Comp,Prev,1
Purs,Comp,723
Purs,Purs,1568
Purs,Prev,79
Prev,Comp,144
Prev,Purs,31
Prev,Prev,2195
Comp,Comp,2299
Comp,Purs,69
Comp,Prev,2
Purs,Comp,647
Purs,Purs,1597
Purs,Prev,126
Prev,Comp,92
Prev,Purs,13
Prev,Prev,2265
