Actual,Predicted,nPredictions
Comp,Comp,8534
Comp,Purs,76
Comp,Prev,0
Purs,Comp,300
Purs,Purs,3894
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8476
Comp,Purs,93
Comp,Prev,0
Purs,Comp,262
Purs,Purs,4013
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8404
Comp,Purs,137
Comp,Prev,0
Purs,Comp,229
Purs,Purs,4070
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8477
Comp,Purs,102
Comp,Prev,0
Purs,Comp,269
Purs,Purs,4022
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8314
Comp,Purs,90
Comp,Prev,0
Purs,Comp,259
Purs,Purs,4086
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8408
Comp,Purs,107
Comp,Prev,0
Purs,Comp,239
Purs,Purs,4037
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8367
Comp,Purs,99
Comp,Prev,0
Purs,Comp,257
Purs,Purs,3953
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8551
Comp,Purs,108
Comp,Prev,0
Purs,Comp,262
Purs,Purs,3960
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8428
Comp,Purs,136
Comp,Prev,0
Purs,Comp,227
Purs,Purs,4064
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8407
Comp,Purs,98
Comp,Prev,0
Purs,Comp,230
Purs,Purs,4046
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
