Actual,Predicted,nPredictions
Comp,Comp,4270
Comp,Purs,9
Comp,Prev,0
Purs,Comp,301
Purs,Purs,3806
Purs,Prev,116
Prev,Comp,53
Prev,Purs,65
Prev,Prev,4062
Comp,Comp,4265
Comp,Purs,2
Comp,Prev,0
Purs,Comp,370
Purs,Purs,3752
Purs,Prev,96
Prev,Comp,71
Prev,Purs,110
Prev,Prev,4098
Comp,Comp,4283
Comp,Purs,2
Comp,Prev,1
Purs,Comp,359
Purs,Purs,3677
Purs,Prev,113
Prev,Comp,62
Prev,Purs,101
Prev,Prev,4163
Comp,Comp,4308
Comp,Purs,6
Comp,Prev,0
Purs,Comp,256
Purs,Purs,3831
Purs,Prev,97
Prev,Comp,54
Prev,Purs,98
Prev,Prev,4080
Comp,Comp,4249
Comp,Purs,2
Comp,Prev,2
Purs,Comp,381
Purs,Purs,3748
Purs,Prev,124
Prev,Comp,89
Prev,Purs,102
Prev,Prev,4043
Comp,Comp,4241
Comp,Purs,3
Comp,Prev,1
Purs,Comp,331
Purs,Purs,3753
Purs,Prev,133
Prev,Comp,64
Prev,Purs,90
Prev,Prev,4137
Comp,Comp,4303
Comp,Purs,4
Comp,Prev,3
Purs,Comp,313
Purs,Purs,3781
Purs,Prev,131
Prev,Comp,57
Prev,Purs,79
Prev,Prev,4148
Comp,Comp,4317
Comp,Purs,4
Comp,Prev,2
Purs,Comp,322
Purs,Purs,3837
Purs,Prev,94
Prev,Comp,60
Prev,Purs,117
Prev,Prev,4122
Comp,Comp,4337
Comp,Purs,6
Comp,Prev,1
Purs,Comp,320
Purs,Purs,3782
Purs,Prev,117
Prev,Comp,72
Prev,Purs,95
Prev,Prev,4148
Comp,Comp,4346
Comp,Purs,1
Comp,Prev,0
Purs,Comp,377
Purs,Purs,3836
Purs,Prev,106
Prev,Comp,76
Prev,Purs,96
Prev,Prev,4168
