Actual,Predicted,nPredictions,name
Comp,Comp,2085,lucky-sweep-10
Comp,Purs,283,lucky-sweep-10
Comp,Prev,2,lucky-sweep-10
Purs,Comp,144,lucky-sweep-10
Purs,Purs,2185,lucky-sweep-10
Purs,Prev,41,lucky-sweep-10
Prev,Comp,2,lucky-sweep-10
Prev,Purs,2,lucky-sweep-10
Prev,Prev,2366,lucky-sweep-10
Comp,Comp,2112,dainty-sweep-9
Comp,Purs,255,dainty-sweep-9
Comp,Prev,3,dainty-sweep-9
Purs,Comp,137,dainty-sweep-9
Purs,Purs,2215,dainty-sweep-9
Purs,Prev,18,dainty-sweep-9
Prev,Comp,4,dainty-sweep-9
Prev,Purs,2,dainty-sweep-9
Prev,Prev,2364,dainty-sweep-9
Comp,Comp,2059,twilight-sweep-8
Comp,Purs,310,twilight-sweep-8
Comp,Prev,1,twilight-sweep-8
Purs,Comp,94,twilight-sweep-8
Purs,Purs,2253,twilight-sweep-8
Purs,Prev,23,twilight-sweep-8
Prev,Comp,2,twilight-sweep-8
Prev,Purs,1,twilight-sweep-8
Prev,Prev,2367,twilight-sweep-8
Comp,Comp,2086,good-sweep-7
Comp,Purs,280,good-sweep-7
Comp,Prev,4,good-sweep-7
Purs,Comp,127,good-sweep-7
Purs,Purs,2214,good-sweep-7
Purs,Prev,29,good-sweep-7
Prev,Comp,2,good-sweep-7
Prev,Purs,6,good-sweep-7
Prev,Prev,2362,good-sweep-7
Comp,Comp,2101,restful-sweep-5
Comp,Purs,267,restful-sweep-5
Comp,Prev,2,restful-sweep-5
Purs,Comp,126,restful-sweep-5
Purs,Purs,2223,restful-sweep-5
Purs,Prev,21,restful-sweep-5
Prev,Comp,2,restful-sweep-5
Prev,Purs,4,restful-sweep-5
Prev,Prev,2364,restful-sweep-5
Comp,Comp,2077,tough-sweep-4
Comp,Purs,288,tough-sweep-4
Comp,Prev,5,tough-sweep-4
Purs,Comp,125,tough-sweep-4
Purs,Purs,2218,tough-sweep-4
Purs,Prev,27,tough-sweep-4
Prev,Comp,3,tough-sweep-4
Prev,Purs,2,tough-sweep-4
Prev,Prev,2365,tough-sweep-4
Comp,Comp,2029,feasible-sweep-3
Comp,Purs,338,feasible-sweep-3
Comp,Prev,3,feasible-sweep-3
Purs,Comp,100,feasible-sweep-3
Purs,Purs,2241,feasible-sweep-3
Purs,Prev,29,feasible-sweep-3
Prev,Comp,1,feasible-sweep-3
Prev,Purs,3,feasible-sweep-3
Prev,Prev,2366,feasible-sweep-3
Comp,Comp,2094,woven-sweep-2
Comp,Purs,275,woven-sweep-2
Comp,Prev,1,woven-sweep-2
Purs,Comp,132,woven-sweep-2
Purs,Purs,2221,woven-sweep-2
Purs,Prev,17,woven-sweep-2
Prev,Comp,4,woven-sweep-2
Prev,Purs,8,woven-sweep-2
Prev,Prev,2358,woven-sweep-2
Comp,Comp,2091,unique-sweep-1
Comp,Purs,276,unique-sweep-1
Comp,Prev,3,unique-sweep-1
Purs,Comp,110,unique-sweep-1
Purs,Purs,2232,unique-sweep-1
Purs,Prev,28,unique-sweep-1
Prev,Comp,1,unique-sweep-1
Prev,Purs,3,unique-sweep-1
Prev,Prev,2366,unique-sweep-1
