Actual,Predicted,nPredictions
Comp,Comp,7928
Comp,Purs,662
Comp,Prev,0
Purs,Comp,742
Purs,Purs,3456
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7746
Comp,Purs,795
Comp,Prev,0
Purs,Comp,636
Purs,Purs,3647
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7762
Comp,Purs,757
Comp,Prev,0
Purs,Comp,686
Purs,Purs,3544
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7741
Comp,Purs,750
Comp,Prev,0
Purs,Comp,707
Purs,Purs,3637
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7740
Comp,Purs,726
Comp,Prev,0
Purs,Comp,696
Purs,Purs,3610
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7826
Comp,Purs,596
Comp,Prev,0
Purs,Comp,818
Purs,Purs,3570
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7780
Comp,Purs,693
Comp,Prev,0
Purs,Comp,724
Purs,Purs,3643
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7802
Comp,Purs,722
Comp,Prev,0
Purs,Comp,729
Purs,Purs,3515
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7913
Comp,Purs,715
Comp,Prev,0
Purs,Comp,693
Purs,Purs,3555
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,7737
Comp,Purs,718
Comp,Prev,0
Purs,Comp,695
Purs,Purs,3620
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
