Actual,Predicted,nPredictions
Comp,Comp,8520
Comp,Purs,1
Comp,Prev,0
Purs,Comp,16
Purs,Purs,4287
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8542
Comp,Purs,1
Comp,Prev,0
Purs,Comp,14
Purs,Purs,4286
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8550
Comp,Purs,1
Comp,Prev,0
Purs,Comp,24
Purs,Purs,4222
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8425
Comp,Purs,3
Comp,Prev,0
Purs,Comp,16
Purs,Purs,4116
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8537
Comp,Purs,3
Comp,Prev,0
Purs,Comp,8
Purs,Purs,4197
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8596
Comp,Purs,2
Comp,Prev,0
Purs,Comp,14
Purs,Purs,4206
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8632
Comp,Purs,1
Comp,Prev,0
Purs,Comp,26
Purs,Purs,4172
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8524
Comp,Purs,1
Comp,Prev,0
Purs,Comp,19
Purs,Purs,4258
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8462
Comp,Purs,3
Comp,Prev,0
Purs,Comp,10
Purs,Purs,4280
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
Comp,Comp,8524
Comp,Purs,3
Comp,Prev,0
Purs,Comp,11
Purs,Purs,4208
Purs,Prev,0
Prev,Comp,0
Prev,Purs,0
Prev,Prev,0
