Actual,Predicted,nPredictions
Comp,Comp,3878
Comp,Purs,315
Comp,Prev,0
Purs,Comp,908
Purs,Purs,3398
Purs,Prev,0
Prev,Comp,7
Prev,Purs,6
Prev,Prev,4217
Comp,Comp,4070
Comp,Purs,249
Comp,Prev,0
Purs,Comp,926
Purs,Purs,3348
Purs,Prev,3
Prev,Comp,6
Prev,Purs,8
Prev,Prev,4271
Comp,Comp,3976
Comp,Purs,335
Comp,Prev,3
Purs,Comp,736
Purs,Purs,3535
Purs,Prev,3
Prev,Comp,6
Prev,Purs,8
Prev,Prev,4285
Comp,Comp,3929
Comp,Purs,281
Comp,Prev,2
Purs,Comp,867
Purs,Purs,3353
Purs,Prev,2
Prev,Comp,4
Prev,Purs,9
Prev,Prev,4343
Comp,Comp,4069
Comp,Purs,247
Comp,Prev,2
Purs,Comp,926
Purs,Purs,3313
Purs,Prev,3
Prev,Comp,7
Prev,Purs,8
Prev,Prev,4145
Comp,Comp,3929
Comp,Purs,301
Comp,Prev,0
Purs,Comp,847
Purs,Purs,3457
Purs,Prev,3
Prev,Comp,14
Prev,Purs,8
Prev,Prev,4260
Comp,Comp,4068
Comp,Purs,252
Comp,Prev,0
Purs,Comp,884
Purs,Purs,3225
Purs,Prev,4
Prev,Comp,8
Prev,Purs,8
Prev,Prev,4364
Comp,Comp,4030
Comp,Purs,334
Comp,Prev,2
Purs,Comp,828
Purs,Purs,3451
Purs,Prev,1
Prev,Comp,11
Prev,Purs,6
Prev,Prev,4200
Comp,Comp,3980
Comp,Purs,308
Comp,Prev,0
Purs,Comp,876
Purs,Purs,3463
Purs,Prev,1
Prev,Comp,8
Prev,Purs,8
Prev,Prev,4252
Comp,Comp,3981
Comp,Purs,295
Comp,Prev,1
Purs,Comp,711
Purs,Purs,3568
Purs,Prev,2
Prev,Comp,8
Prev,Purs,22
Prev,Prev,4261
